Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2010","2010","ha","282900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2011","2011","ha","289100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2012","2012","ha","321900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2013","2013","ha","312000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2014","2014","ha","313040","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2015","2015","ha","319000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2016","2016","ha","277000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2017","2017","ha","305000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2018","2018","ha","301000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2019","2019","ha","308000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2010","2010","hg/ha","62821","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2011","2011","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2012","2012","hg/ha","68450","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2013","2013","hg/ha","61378","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2014","2014","hg/ha","79788","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2015","2015","hg/ha","66897","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2016","2016","hg/ha","91011","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2017","2017","hg/ha","74262","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2018","2018","hg/ha","77309","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2019","2019","hg/ha","75195","Fc","Calculated data"
