Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2010","2010","°C","0.328","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2011","2011","°C","-0.335","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2012","2012","°C","-0.173","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2013","2013","°C","0.142","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2014","2014","°C","0.26","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2015","2015","°C","0.035","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2016","2016","°C","1.173","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2017","2017","°C","0.822","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2018","2018","°C","0.642","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2019","2019","°C","0.216","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2020","2020","°C","0.258","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2010","2010","°C","1.065","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2011","2011","°C","0.437","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2012","2012","°C","0.118","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2013","2013","°C","0.598","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2014","2014","°C","-0.395","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2015","2015","°C","1.052","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2016","2016","°C","1.849","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2017","2017","°C","1.37","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2018","2018","°C","1.387","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2019","2019","°C","0.478","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2020","2020","°C","0.379","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2010","2010","°C","2.233","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2011","2011","°C","0.618","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2012","2012","°C","0.334","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2013","2013","°C","0.629","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2014","2014","°C","-0.322","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2015","2015","°C","-0.159","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2016","2016","°C","1.614","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2017","2017","°C","0.639","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2018","2018","°C","1.457","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2019","2019","°C","0.224","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7003","March","2020","2020","°C","-0.293","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2010","2010","°C","2.076","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2011","2011","°C","-0.447","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2012","2012","°C","0.252","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2013","2013","°C","0.155","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2014","2014","°C","0.327","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2015","2015","°C","-0.487","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2016","2016","°C","1.707","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2017","2017","°C","1.253","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2018","2018","°C","0.704","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2019","2019","°C","1.11","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7004","April","2020","2020","°C","0.163","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2010","2010","°C","1.162","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2011","2011","°C","0.35","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2012","2012","°C","0.75","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2013","2013","°C","0.873","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2014","2014","°C","-0.146","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7005","May","2015","2015","°C","0.733","Fc","Calculated data"
