Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2001","2001","°C","0.277","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2002","2002","°C","0.558","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2003","2003","°C","0.086","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2004","2004","°C","0.326","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2005","2005","°C","0.557","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2006","2006","°C","0.813","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2007","2007","°C","0.931","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2008","2008","°C","0.364","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2009","2009","°C","1.661","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2010","2010","°C","0.328","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2011","2011","°C","-0.335","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2012","2012","°C","-0.173","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2013","2013","°C","0.142","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2014","2014","°C","0.26","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2015","2015","°C","0.035","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2016","2016","°C","1.173","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2017","2017","°C","0.822","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2018","2018","°C","0.642","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7001","January","2019","2019","°C","0.216","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2001","2001","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2002","2002","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2003","2003","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2004","2004","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2005","2005","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2006","2006","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2007","2007","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2008","2008","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2009","2009","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2010","2010","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2011","2011","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2012","2012","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2013","2013","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2014","2014","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2015","2015","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2016","2016","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2017","2017","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2018","2018","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","6078","Standard Deviation","7001","January","2019","2019","°C","0.532","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2001","2001","°C","1.059","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2002","2002","°C","0.646","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2003","2003","°C","1.017","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2004","2004","°C","0.551","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2005","2005","°C","0.716","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2006","2006","°C","2.555","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2007","2007","°C","0.624","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2008","2008","°C","-0.745","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2009","2009","°C","1.743","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2010","2010","°C","1.065","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2011","2011","°C","0.437","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2012","2012","°C","0.118","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2013","2013","°C","0.598","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2014","2014","°C","-0.395","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2015","2015","°C","1.052","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2016","2016","°C","1.849","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7002","February","2017","2017","°C","1.37","Fc","Calculated data"
