Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","1965","1965","index","8.51","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2001","2001","index","41.7","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2002","2002","index","27.64","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2003","2003","index","43.37","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2004","2004","index","38.67","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2005","2005","index","44.47","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2006","2006","index","45.76","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2007","2007","index","67.51","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2008","2008","index","67.64","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2009","2009","index","66.81","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2010","2010","index","71.44","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2011","2011","index","91.48","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2012","2012","index","91.49","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2013","2013","index","92.99","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2014","2014","index","99.43","Fc","Calculated data"
"QI","Production Indices","100","India","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2015","2015","index","92.96","Fc","Calculated data"
