Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2001","2001","tonnes","17028","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2002","2002","tonnes","18197","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2003","2003","tonnes","18578","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2004","2004","tonnes","19894","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2005","2005","tonnes","32368","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2006","2006","tonnes","48982","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2007","2007","tonnes","58401","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2008","2008","tonnes","71204","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2009","2009","tonnes","98895","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2010","2010","tonnes","93264","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2011","2011","tonnes","179015","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2012","2012","tonnes","186368","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2013","2013","tonnes","194335","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2014","2014","tonnes","204570","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2015","2015","tonnes","193692","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2016","2016","tonnes","246808","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2017","2017","tonnes","330605","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2018","2018","tonnes","280094","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","515","Apples","2019","2019","tonnes","242713","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2001","2001","tonnes","19296","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2002","2002","tonnes","15632","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2003","2003","tonnes","9032","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2004","2004","tonnes","23210","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2005","2005","tonnes","30044","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2006","2006","tonnes","25971","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2007","2007","tonnes","32655","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2008","2008","tonnes","44552","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2009","2009","tonnes","26739","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2010","2010","tonnes","47493","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2011","2011","tonnes","25749","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2012","2012","tonnes","19477","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2013","2013","tonnes","37165","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2014","2014","tonnes","15797","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2015","2015","tonnes","18321","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2016","2016","tonnes","12660","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2017","2017","tonnes","7278","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2018","2018","tonnes","12894","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","515","Apples","2019","2019","tonnes","19431","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2001","2001","tonnes","59","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2002","2002","tonnes","19","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2003","2003","tonnes","27","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2004","2004","tonnes","57","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2005","2005","tonnes","137","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2006","2006","tonnes","146","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2007","2007","tonnes","68","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2008","2008","tonnes","147","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2009","2009","tonnes","18","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2010","2010","tonnes","12","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2011","2011","tonnes","55","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2012","2012","tonnes","54","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2013","2013","tonnes","94","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2014","2014","tonnes","56","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2015","2015","tonnes","52","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2016","2016","tonnes","36","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2017","2017","tonnes","113","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2018","2018","tonnes","478","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","526","Apricots","2019","2019","tonnes","339","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2001","2001","tonnes","23","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2002","2002","tonnes","60","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2003","2003","tonnes","66","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2004","2004","tonnes","14","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2005","2005","tonnes","61","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2006","2006","tonnes","49","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2007","2007","tonnes","77","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2008","2008","tonnes","163","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2009","2009","tonnes","89","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2010","2010","tonnes","83","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2011","2011","tonnes","9","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2012","2012","tonnes","87","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2013","2013","tonnes","71","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2014","2014","tonnes","17","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2015","2015","tonnes","18","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2016","2016","tonnes","23","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2017","2017","tonnes","36","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2018","2018","tonnes","9","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","526","Apricots","2019","2019","tonnes","5","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2001","2001","tonnes","0","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2002","2002","tonnes","6","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2003","2003","tonnes","6","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2004","2004","tonnes","0","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","486","Bananas","2005","2005","tonnes","0","F","FAO estimate"
