Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2001","2001","index","2.18","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2002","2002","index","4.01","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2003","2003","index","10.89","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2004","2004","index","15.11","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2005","2005","index","5.54","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2006","2006","index","5.76","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2007","2007","index","3.86","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2008","2008","index","10.43","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2009","2009","index","15.39","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2010","2010","index","10.59","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2011","2011","index","17.92","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2012","2012","index","8.41","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2013","2013","index","7.82","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2014","2014","index","40.18","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2015","2015","index","137.2","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2016","2016","index","122.62","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2017","2017","index","66.61","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2018","2018","index","13.94","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","711","Anise, badian, fennel, coriander","2019","2019","index","51.62","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2001","2001","index","99.64","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2002","2002","index","118.47","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2003","2003","index","103.28","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2004","2004","index","123.09","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2005","2005","index","108.51","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2006","2006","index","98.79","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2007","2007","index","142.29","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2008","2008","index","68.19","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2009","2009","index","87.56","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2010","2010","index","60.27","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2011","2011","index","72.79","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2012","2012","index","85.24","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2013","2013","index","95.57","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2014","2014","index","98.67","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2015","2015","index","97.98","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2016","2016","index","103.35","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2017","2017","index","90.74","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2018","2018","index","112.97","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","515","Apples","2019","2019","index","118.52","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2001","2001","index","82.1","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2002","2002","index","99.74","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2003","2003","index","123.53","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2004","2004","index","131.53","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2005","2005","index","118.23","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2006","2006","index","64.04","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2007","2007","index","128.08","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2008","2008","index","94.42","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2009","2009","index","98.52","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2010","2010","index","83.74","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2011","2011","index","98.52","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2012","2012","index","93.6","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2013","2013","index","101.81","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2014","2014","index","101.81","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2015","2015","index","98.52","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2016","2016","index","99.67","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2017","2017","index","87.52","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2018","2018","index","108.87","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","526","Apricots","2019","2019","index","114.29","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","44","Barley","2001","2001","index","104.42","Fc","Calculated data"
"QI","Production Indices","185","Russian Federation","432","Gross Production Index Number (2014-2016 = 100)","44","Barley","2002","2002","index","100.14","Fc","Calculated data"
